crimeCaseNumber,CrimeDate,CrimeCode,CrimeTime,Location,Description,Weapon,Post,District,Neighborhood,Location 1
,12/25/14,3CK,5:52:00,6200 BELAIR RD,ROBBERY - COMMERCIAL,KNIFE,425,NORTHEASTERN,Glenham-Belhar,"(39.3507900000, -76.5352400000)"
,12/25/14,4B,9:30:00,1300 PONTIAC AV,AGG. ASSAULT,KNIFE,911,SOUTHERN,Curtis Bay,"(39.2318300000, -76.5923200000)"
,12/25/14,3B,13:45:00,1900 RAMBLEWOOD RD,ROBBERY - STREET,,415,NORTHEASTERN,Loch Raven,"(39.3584400000, -76.5794000000)"
,12/25/14,3B,14:46:00,500 W 29TH ST,ROBBERY - STREET,,511,NORTHERN,Remington,"(39.3209000000, -76.6249500000)"
,12/25/14,4C,15:15:00,1600 NORMAL AV,AGG. ASSAULT,OTHER,342,EASTERN,Darley Park,"(39.3158800000, -76.5947800000)"
,12/25/14,4A,17:06:00,500 N POTOMAC ST,AGG. ASSAULT,FIREARM,224,SOUTHEASTERN,Ellwood Park/Monument,"(39.2976600000, -76.5750900000)"
,12/25/14,4A,17:06:00,500 N POTOMAC ST,AGG. ASSAULT,FIREARM,224,SOUTHEASTERN,Ellwood Park/Monument,"(39.2976600000, -76.5750900000)"
,12/25/14,4A,17:06:00,500 N POTOMAC ST,AGG. ASSAULT,FIREARM,224,SOUTHEASTERN,Ellwood Park/Monument,"(39.2976600000, -76.5750900000)"
,12/25/14,3AJF,19:45:00,5600 HARFORD RD,ROBBERY - CARJACKING,FIREARM,425,NORTHEASTERN,Glenham-Belhar,"(39.3534400000, -76.5604300000)"
,12/25/14,3AF,20:23:00,2400 BRENTWOOD AV,ROBBERY - STREET,FIREARM,341,EASTERN,Barclay,"(39.3163200000, -76.6104400000)"
,12/25/14,4C,21:30:00,6500 HOLABIRD AV,AGG. ASSAULT,OTHER,243,SOUTHEASTERN,Broening Manor,"(39.2724000000, -76.5351900000)"
,12/25/14,3AF,23:04:00,2000 E PRATT ST,ROBBERY - STREET,FIREARM,212,SOUTHEASTERN,Butcher's Hill,"(39.2894500000, -76.5888900000)"
,12/25/14,3AF,23:04:00,2000 E PRATT ST,ROBBERY - STREET,FIREARM,212,SOUTHEASTERN,Butcher's Hill,"(39.2894500000, -76.5888900000)"
,12/24/14,4D,9:00:00,400 ROBERT ST,AGG. ASSAULT,HANDS,131,CENTRAL,Druid Heights,"(39.3070300000, -76.6340000000)"
,12/24/14,3CF,15:15:00,5800 HILLEN RD,ROBBERY - COMMERCIAL,FIREARM,415,NORTHEASTERN,Loch Raven,"(39.3591600000, -76.5818200000)"
,12/24/14,3CF,12:40:00,3500 DOLFIELD AV,ROBBERY - COMMERCIAL,FIREARM,643,NORTHWESTERN,Ashburton,"(39.3346300000, -76.6742100000)"
,12/24/14,3AO,0:20:00,5500 MIDWOOD AVE,ROBBERY - STREET,OTHER,523,NORTHERN,Cameron Village,"(39.3555300000, -76.6018400000)"
